ensembl.gene.id	X0610	X0687	X1809	X1812	X1938	X1941
PGLYRP1	5	30	11	78	6	6
NFIX	3013	2661	2211	1832	1798	1559
ST3GAL1	1765	2790	2198	2508	1795	2576
IL32	5869	5088	4275	7504	9166	8266
PKD1	6432	5600	7830	6144	5695	6777
MAPK8IP2	134	50	82	39	89	52
MED24	2179	1996	2214	2411	2441	2593
RHOBTB2	934	387	814	513	955	744
HEATR5B	1015	877	1206	1152	1129	1345
RPS20	22049	11392	26917	25693	36568	30239
CSDE1	13910	16502	13106	14493	12934	14139
UBE3C	1875	3165	1682	2426	1819	2110
REV3L	840	828	742	730	752	730
TENM1	50	45	84	73	84	73
PAX7	2	0	1	0	0	0
MASP2	96	84	112	90	89	129
IYD	82	93	223	204	233	204
FAM76A	576	440	429	482	485	454
TRAF3IP3	2950	1300	2833	2534	3277	4760
POMT2	557	742	600	686	575	587
VTA1	1602	1492	985	1220	995	1220
MLXIPL	99	55	83	90	98	81
BAZ1B	2637	2759	2545	2765	2449	2654
RANBP9	1463	1645	1229	1454	1068	1316
ETV7	167	565	119	111	201	220
SPRTN	344	393	234	356	227	326
METTL13	1087	1090	905	1269	1187	1360
DYRK4	485	306	362	424	485	306
ZNF207	5150	4961	4630	5594	4559	5581
STARD3NL	1062	1291	764	1132	774	972
CD9	4387	3962	4462	4616	4387	3962
HHATL	3	0	12	5	7	2
IFFO1	1551	1037	1879	1916	1551	1037
GIPR	135	148	186	238	279	221
PHF7	194	150	286	253	266	241
SEMA3G	316	278	434	443	368	426
NISCH	3527	2578	5361	4776	4939	4516
STAB1	6666	10620	7347	18468	5031	8614
FUZ	251	177	339	312	323	346
SLC6A13	5	15	10	7	5	15
IDS	160	451	317	408	317	408
PRSS3	236	391	289	486	675	133
ZNF200	431	824	335	376	336	414
CD4	4570	2927	4198	4556	4570	2927
LRRC23	140	120	133	97	140	120
BTK	1858	1040	2259	1974	2110	2561
HFE	305	334	262	404	246	264
SCMH1	1104	812	1000	908	1010	866
FYN	3859	2281	2767	2667	2777	2667
HIVEP2	1051	1846	1168	1164	1178	1164
FMO1	156	85	137	134	153	169
ELOA	1116	1782	1228	1535	979	1200
LYPLA2	1510	1437	1324	2040	2037	1750
CLCN6	857	953	1285	1084	1208	1294
MRC2	1623	2173	2306	2498	1461	1447
NME1-NME2	0	0	0	0	0	0
SLC6A7	61	118	86	121	126	42
TSPAN9	710	846	757	925	710	846
BTBD7	1046	1302	849	921	815	892
APBA3	830	638	716	706	931	929
MKS1	269	216	317	346	422	409
ABHD5	677	1517	632	1180	698	532
AKAP8L	1424	1015	1436	1332	1465	1633
MBTD1	866	685	1009	831	904	947
UTP18	1326	1081	968	1291	1143	1359
RNF216	1949	1925	1702	2027	1712	2027
TTC19	1744	1374	1401	1545	1638	1455
PTBP1	10173	9731	7575	9797	9133	9747
DPF1	23	14	9	21	26	17
SYT7	248	288	173	187	237	121
LARS2	549	701	576	887	613	765
PIK3C2A	1328	1780	1333	1509	1081	1333
PLAUR	721	12558	644	3074	641	556
ANLN	408	720	458	1118	468	402
WIZ	1899	1799	1333	1599	1375	1622
RABGAP1	1776	2066	2068	1969	1812	1899
DCN	16078	11223	17553	18318	16078	11223
QPCTL	281	219	242	315	313	289
PPP5C	1621	1473	1353	1814	1743	1760
CEP68	708	693	946	795	794	914
MAP4K3	657	767	554	560	527	576
ZBTB32	134	89	187	350	141	209
TYROBP	1386	4946	2274	4977	2010	3772
LDAF1	539	362	676	462	558	426
BRCA1	458	395	488	679	499	539
ERCC1	1150	936	1094	1190	1231	1288
SEMA3B	1471	1042	1312	1060	2540	849
MBTPS2	336	582	254	386	266	334
PRICKLE3	336	355	278	352	298	331
LTF	6326	758	5751	1006	7546	6205
EXTL3	840	1407	719	1060	726	869
NR1H4	94	124	219	196	94	124
ELOVL5	4214	4694	3428	3631	2847	3908
ALOX5	2033	5565	2735	4583	2763	2903
KDM5D	2494	2292	4528	3925	4528	3925
CALCOCO1	2376	1988	4761	3700	2376	1988
MAP4K5	1195	1507	1098	1160	986	1058
EHD3	584	540	442	647	631	693
PSMC4	2347	2537	1650	2611	2001	2555
MAN2B2	1803	1716	1959	1914	1640	2163
CLDN11	79	35	88	57	40	56
SLC25A39	2850	2337	2529	3386	3835	3578
MVP	7387	10453	5236	9046	8260	7879
NUB1	2331	2554	1981	2058	2319	2926
PGM3	753	1385	652	1076	524	768
RWDD2A	189	164	196	204	203	212
CLK1	6010	5049	6957	5534	5309	6366
POLR3B	341	386	270	332	341	386
ANGEL1	578	632	717	746	669	775
RNF14	1306	1331	976	1170	1070	1065
DNASE1L1	281	285	329	412	329	412
DDX11	1805	1068	2504	2550	1805	1068
HEBP1	717	665	816	954	717	665
GPRC5A	1084	2912	834	1600	1084	2912
MAMLD1	172	232	150	123	150	123
CD6	2773	830	1976	2152	3847	5017
TACC3	3306	1802	3212	3339	3712	3348
POLA2	196	141	216	262	196	141
CAPN1	4717	4592	3944	4985	4717	4592
ACP3	97	289	75	164	68	154
MDH1	3109	2351	2349	3136	2732	2919
SLC30A9	1744	1907	1235	1495	1326	1511
MTMR11	974	1364	1270	1712	2663	941
COX15	915	760	695	764	890	849
CCDC88C	2409	1425	3384	2687	3151	3404
YAF2	626	519	443	505	626	519
ZMYND11	2223	2600	2030	2206	1775	2060
WAS	2773	2754	2551	2860	3256	3624
DPEP1	62	50	235	125	228	204
BID	1004	2623	754	1401	1005	1265
MATR3	157	211	250	225	169	173
NPC1L1	10	3	8	3	18	6
XYLT2	1012	709	995	1057	1172	1250
RGPD5	2281	3395	2619	2611	2274	2662
STMN4	111	3	35	8	54	6
NUDCD3	2063	1575	1999	1823	2009	2107
ISL1	3	7	14	5	6	2
IL20RA	94	150	71	156	81	156
CLCA1	21032	24096	9012	12632	10494	6875
CLCA4	4603	10884	2160	3850	3369	786
GLT8D1	1278	1101	978	1163	1105	1277
ATP2C1	2326	3224	1768	2239	1704	2115
IGF1	150	185	197	247	150	185
SLC38A5	345	460	242	699	264	410
RALBP1	2603	2903	2493	2871	2393	2332
RUFY3	1663	1352	1655	1268	1613	1619
CNTN1	332	64	648	209	332	64
SLC11A1	206	9609	1116	6045	89	223
WWTR1	1817	3747	1424	2134	934	1301
AGPS	1609	2905	1182	2042	1104	1490
STEEP1	656	471	401	494	591	606
ATP1A2	386	56	1207	114	556	148
TTC27	660	561	404	516	442	555
ZNF582	60	60	50	46	49	73
VSIG2	157	208	427	631	157	208
PHLDB1	1622	2671	1878	2097	1622	2671
MARCO	547	2624	2599	4255	353	1211
CYP24A1	13	148	16	82	21	36
PRDM11	431	270	564	321	439	427
SYT13	264	307	276	232	307	159
SNAI2	786	729	1148	1274	413	565
CD74	98051	49711	82210	64638	135743	151919
HGF	174	507	184	309	100	184
ZRANB1	314	449	441	401	304	389
NCDN	946	743	730	875	769	867
ADGRA2	2711	1968	2178	2451	1714	2064
ZFP64	455	420	419	441	398	441
MNAT1	293	250	219	257	214	233
SAMD4A	888	1320	642	661	518	742
RUNX3	3076	2129	1850	1684	2771	3407
MRE11	918	710	1112	1152	918	710
PLEKHB1	447	181	556	337	447	181
SERPINB1	3197	8166	2549	5251	3213	3355
CYP3A43	1	1	2	0	7	1
SLC7A9	50	4	37	16	150	8
SPAST	693	869	525	582	503	620
NRXN3	258	648	180	215	333	379
OSBPL5	960	1279	1090	1566	809	990
AQR	1356	1706	1172	1446	1161	1515
CPS1	27	25	55	79	37	41
C8B	0	0	1	3	0	0
FHL1	4991	3632	4821	3706	4821	3706
RTF2	2244	2544	2034	2559	2573	2475
GABRA1	4	3	1	1	1	1
NLRP2	164	134	369	353	779	754
SLC45A4	519	1540	544	1092	592	631
RNF10	4268	4819	3460	4223	4268	4819
ZNF839	297	249	310	318	340	406
ZDHHC6	1572	1521	1413	1664	1440	1585
GRAMD1B	315	334	460	396	315	334
RNH1	3859	3602	3477	4924	4101	5028
NDUFS1	2158	2566	1501	2103	1586	1765
RB1CC1	1080	1715	1142	1311	944	1109
ALAS1	1237	1762	1109	1732	1416	1432
BIRC3	5088	5124	5115	4787	5088	5124
AKAP11	2046	1810	1666	1785	1587	1934
GLRX2	617	614	415	582	548	511
DERA	953	824	841	971	953	824
STRAP	3163	3572	1908	3099	3163	3572
ABCC2	83	71	119	107	48	91
DEF6	2937	1614	2503	2597	3276	3859
PLEKHO1	3094	4330	3340	4442	4807	5796
GCLM	607	1619	388	775	403	433
UBR2	1414	2258	1514	1754	1409	1557
EHD2	3215	4758	2588	3233	1808	2484
DEPDC1	379	261	319	446	304	255
CCDC28A	552	351	730	655	740	655
RRAGD	244	727	277	401	249	287
HSF2	591	384	367	381	377	381
PHF20	1400	1560	1280	1398	1176	1491
HSD17B6	247	288	306	325	247	288
NR1H3	1122	592	1634	1600	1913	2462
TYMP	3328	9215	2343	5449	4302	7087
NCAPH2	1352	871	1288	1480	1545	1530
TOMM34	747	707	563	802	723	808
SEC63	2834	3327	2228	2781	2071	2443
KPNA6	1977	2237	1624	1874	1619	1895
VIM	18126	19243	13889	16672	16468	18126
FAS	923	1962	641	896	665	871
RNASET2	2402	2002	2888	3045	2898	3045
CD44	9491	28577	6503	12198	7444	10877
KCNG1	159	119	236	277	191	131
AGPAT4	262	450	238	467	248	467
SLAMF7	1759	2636	935	741	1151	1861
BTN3A1	3007	2850	2792	2408	3038	4245
MIPEP	462	455	256	492	375	382
PRKCH	1834	1415	1429	1378	1657	2296
IFNGR1	3756	6651	3680	5716	3690	5716
B4GALT7	597	512	576	786	808	730
SH2D2A	393	412	201	480	396	579
VRK2	409	607	285	448	346	485
TNFRSF1B	3749	15603	3331	7028	3662	5559
VEZT	1976	1638	1566	1471	1976	1638
POU2F2	6506	2400	4488	2907	5499	4523
BRD9	1358	1243	1186	1654	1725	1724
SNX1	4326	3331	3837	4463	4273	4722
TBPL1	471	432	373	456	383	456
ARNTL2	419	1159	225	448	419	1159
BCLAF1	4303	5211	4130	4585	4140	4585
SLC39A9	1451	1923	1086	1342	1161	1290
ANK1	152	137	128	172	226	233
TFB1M	332	217	283	351	293	351
RABEP1	1439	1599	1527	1519	1421	1698
HMGB3	805	611	733	1108	733	1108
NUP160	1529	1773	1316	1792	1219	1796
BAK1	961	1209	760	1442	1090	1049
MUSK	312	63	160	123	162	235
IKZF2	343	268	360	303	271	397
GRN	6811	10170	8072	12577	10698	11512
FAM13B	1318	1292	1179	1055	954	1112
ARHGAP31	891	2343	949	1331	918	1305
CENPQ	297	231	135	158	187	210
RANBP3	2307	1721	1968	2027	2303	2357
ARID4A	1366	1249	1112	1077	963	1039
EIPR1	587	443	490	654	754	765
PNPLA6	2500	4625	2274	3558	2481	3024
IFT88	418	423	331	355	326	340
ALG1	481	500	322	621	473	532
ZCCHC8	1244	975	1115	1039	1244	975
CHPF2	1343	1578	1406	2005	1736	1897
LRRC7	88	51	43	47	78	56
FUT8	1000	966	699	905	653	827
UBA6	1398	1992	1301	1542	1121	1455
GAB2	627	2296	1195	1432	627	2296
ATP6V0A1	1979	2327	2043	2626	2259	2229
PIAS1	1513	1841	1698	1524	1325	1504
SLC4A7	915	1176	905	1007	658	1051
APBA2	538	217	352	392	594	1090
MAP2K3	1704	3641	1207	2500	1486	1320
EFCAB1	11	6	5	9	4	4
TMSB10	18242	17831	19823	30133	31594	32522
ASTE1	352	244	316	304	286	343
RNF19A	2248	2265	3473	3303	2312	2857
GABARAPL2	2042	2534	1950	2118	2283	2189
MYOC	18	0	44	0	7	0
SH3YL1	1397	925	1127	1066	983	930
FAM136A	1276	1093	1044	1356	1219	1248
VCL	4736	9071	4567	6372	3567	4554
DEPDC1B	305	120	246	343	249	243
DAPK2	365	441	506	631	744	349
NSMAF	1269	1841	1324	1765	1341	1667
ADSS2	1624	1752	956	1448	1056	1494
STAP1	1284	205	1025	513	1197	906
TIMP2	5969	7339	5283	6146	4162	4079
RFC1	1567	1306	1802	1499	1763	1690
TBC1D23	1106	1827	919	1176	888	1190
CUL3	2709	2519	1762	1931	1889	2214
OTC	33	12	41	16	34	7
CYP46A1	63	20	50	46	42	41
ZZZ3	1037	1161	948	928	893	1028
SLC18A1	14	22	13	13	30	13
USP2	111	144	144	117	111	144
CASR	20	25	16	24	32	29
TUBG2	659	553	764	840	752	832
RPL26L1	427	457	342	617	467	512
FLT4	1078	993	654	966	1225	1468
NSUN2	2583	2788	1828	2374	2563	2864
FBXO42	991	832	864	841	864	976
MFAP3	200	686	269	433	152	310
MRI1	789	472	842	816	609	845
METTL1	324	357	159	330	324	357
HOXC8	40	77	24	32	40	77
AGA	466	330	488	559	451	523
PI4K2B	992	1111	694	942	716	849
BOD1L1	2710	3529	1726	1924	1506	1774
MAT2B	3660	3085	2898	3096	3032	3652
TLL1	177	160	185	158	154	157
EDC4	1381	1465	1483	1710	1585	1992
TRIO	1750	3335	2264	3002	2139	2168
VCAN	4283	16649	2517	8556	733	2800
CLEC16A	956	962	1017	1020	1235	1165
MSR1	478	709	281	647	110	313
CDH1	2151	4644	2263	3378	3589	1528
MTREX	2016	2246	1329	1795	1288	1793
DNAH5	12	17	9	22	22	15
ZFYVE16	707	1997	797	1155	476	715
RIPOR1	2341	2624	2095	2205	2019	2478
C6	15	2	23	8	25	10
RAI14	1003	3700	722	1666	750	1282
SOX30	17	20	30	27	19	16
PNKP	1558	1237	1596	1878	1922	2122
BEST2	119	50	135	115	71	32
PHLPP2	594	502	644	569	1082	478
SPDL1	591	658	439	671	463	610
STAU2	756	796	741	837	665	738
SLC66A1	306	371	355	516	397	364
CTNS	463	661	545	740	578	726
PHF23	1124	1398	966	1217	1082	1145
CDH10	20	13	4	4	9	4
INPP4A	1848	1428	1771	1561	1834	2099
RAB27B	126	319	115	101	158	107
PSMA4	4233	4375	2830	4534	4150	4282
MYO16	102	20	39	30	93	104
PARP3	521	520	542	626	658	727
TNC	6183	36918	2223	12168	1754	5936
THAP3	286	211	369	355	408	391
RIPOR3	772	1140	518	937	364	770
TDP1	709	521	592	660	741	797
AIFM2	461	878	532	917	608	540
SPATA7	120	116	183	170	177	165
MED17	210	215	265	290	210	215
RETSAT	1514	2099	2125	3153	3379	1502
CAPG	1619	2639	2148	4408	2898	2757
AP2S1	1553	2017	1775	3397	2371	2363
USH2A	9	4	7	0	4	2
ZPBP	0	0	1	1	11	0
TG	59	87	51	74	45	24
ADAM28	1762	963	2032	1596	1885	2813
BARX2	106	99	100	112	106	99
DCUN1D1	1247	1423	790	969	835	897
JADE2	2213	1308	2657	1763	2443	2663
ZIC2	4	2	2	2	4	0
LCP2	3274	15661	2318	4356	2517	4478
TRIT1	576	516	519	567	537	545
ADRB1	70	35	92	46	99	28
GUCA2B	118	55	112	101	396	8
CUL7	639	747	893	1034	971	1011
CTNNA1	5950	11199	5126	7863	4928	5393
PHKA2	494	569	867	824	792	879
CNTLN	243	293	250	312	230	246
EPHA3	294	150	290	164	207	317
HSPA5	22278	38397	7412	16818	10246	14686
DSG2	1511	3971	1667	2492	2070	1101
GEMIN8	265	211	315	337	335	383
OFD1	1663	962	1634	1341	2342	2343
GPM6B	482	347	459	221	579	363
MAGEC2	0	0	0	0	0	0
PREX2	271	480	265	333	203	270
WDR37	1047	1229	1239	1302	1273	1300
YTHDC2	1503	1239	1410	1385	1335	1720
CTPS2	648	453	628	558	867	513
ATP6V1H	1023	1097	805	1064	859	910
POLR2B	3052	3650	2617	3278	2669	3590
FAM214A	1475	858	1597	1156	1522	1509
ARAP2	840	1042	927	1008	819	987
TPR	3039	3313	2975	3786	2880	3678
CP	460	43	257	75	270	204
KATNIP	514	717	768	826	687	758
DTNBP1	800	559	868	808	931	880
ANO2	42	48	41	32	42	48
C12orf4	680	861	527	658	680	861
SCML1	731	808	531	639	544	861
WWC3	1304	1577	1688	1635	1494	1619
ARHGAP6	256	250	305	176	189	176
FAM184B	17	16	22	16	25	28
MAP4	5897	7636	5469	6506	5399	6475
GOPC	1546	1612	1407	1585	1417	1585
ROS1	1	8	3	9	13	9
USP28	874	739	1020	898	874	739
HDAC9	878	418	1019	548	1029	548
TSPAN17	1150	1207	1036	1546	1282	1415
NOP16	499	536	306	596	442	525
CC2D2A	195	301	367	319	228	197
RRM2B	1202	1121	1297	877	964	893
ZNF800	836	937	642	677	639	815
TNFRSF17	308	66	305	360	399	286
SNX29	1159	711	1592	1501	1485	1576
LMO3	225	169	397	196	225	169
MRPS10	1036	1115	714	1038	813	1033
GUCA1A	0	0	0	0	0	0
RSF1	1549	1607	1402	1396	1549	1607
VPS13D	1434	1584	1518	1693	1397	1541
CELF2	2778	3538	2791	3148	2707	3964
FAM120A	5764	8356	4681	6166	4948	5408
R3HDM1	1109	1063	921	1017	869	1110
COL9A2	507	329	929	830	980	687
KITLG	1117	1619	863	906	1117	1619
ERCC8	228	196	151	174	124	194
ADAMTS6	74	242	172	256	99	119
H6PD	1896	1934	2539	2700	2132	2376
VAMP3	2397	3213	1997	2456	2029	2250
PER3	666	492	390	228	577	454
UTS2	4	5	4	5	3	2
TNFRSF9	441	437	150	111	304	300
LTBP1	1932	5590	1756	3132	1464	1575
RCN1	1528	2260	1034	1769	1312	1192
ELN	3271	4457	2749	2690	2055	2267
RFC2	843	639	703	922	809	873
ARID1B	2584	2264	2757	2197	2767	2197
CLPTM1L	3684	3054	2806	3272	3332	3132
NEDD4L	868	940	994	898	1191	574
FOXP3	263	209	124	414	327	476
PPP1R3F	134	93	134	132	180	186
HEXB	2418	3624	2087	3567	2290	2503
PTCD2	289	243	323	365	334	403
NEXMIF	46	17	47	30	19	26
JKAMP	936	1109	770	1000	787	1038
DKK3	852	1175	884	1226	944	852
ARHGEF5	650	1124	733	1040	765	380
MCUR1	832	895	604	780	698	764
LIMA1	3118	4868	2749	3819	3118	4868
LETMD1	1731	1156	1895	1753	1731	1156
SLC4A8	291	162	257	209	291	162
PTGER3	703	844	357	336	198	232
TNIP3	79	820	65	349	52	143
MAPK9	1261	1233	1185	1276	1183	1290
COL23A1	78	77	78	82	78	63
BCAR1	1304	2205	1042	1702	1302	990
FHIP1B	1189	1745	1645	2058	2065	1576
HERPUD1	5207	5259	4603	3916	4359	4647
HOMER3	209	399	245	536	192	244
RAD51	372	239	327	481	410	353
PIK3CB	753	1455	807	1035	845	851
CYBA	7639	7609	9017	12851	11867	12955
THOC3	1255	833	1075	1680	1567	1558
HEBP2	1213	1423	1482	2049	1492	2049
MPHOSPH9	685	495	660	710	605	803
PLEKHA5	557	607	671	502	557	607
PRSS8	894	1358	1080	1741	2335	674
SIKE1	1112	1241	896	1035	884	1015
RRP12	1099	1514	581	1017	876	1063
FNIP2	710	1721	731	1037	748	677
MSMO1	1028	2187	516	1045	626	809
TTC17	2021	2037	2261	2132	2151	2212
ALX4	1	2	1	1	0	0
FSTL4	8	7	8	5	9	4
FOXN3	1435	1605	1588	1524	1689	1488
METTL24	33	16	25	43	35	43
AKR7A2	902	742	1150	1450	1314	1089
MRTO4	1070	1148	574	1046	898	1111
NNAT	188	67	322	116	171	142
USE1	632	474	697	722	789	748
MCF2L2	58	79	63	87	60	52
NRIP2	306	107	373	229	306	107
LAMA3	778	2641	850	1152	1189	873
AP5M1	1472	1476	1126	1440	1301	1395
ANAPC4	1359	1091	1257	1316	1389	1628
KCNQ1	533	413	572	692	686	614
TRAPPC3	1307	1418	1406	1835	1693	1677
THRAP3	4206	4745	3912	4435	3900	4409
PHPT1	1261	965	1467	1857	2099	1616
ENTPD2	211	131	260	234	317	148
